CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,Iti.started,Iti.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REGULATE,0057:75,REACT,frisbee.jpg,,,,,,,,,0,0,0,3,0,4,4,9,,,,,,,,,,,129.38978159998078,None,137.40724239998963,None,6,1.615,0.01113608997547999,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,smiling.jpg,,,,,,,,,0,0,0,3,0,5,5,13,,,,,,,,,,,140.4008668999886,None,148.39819619996706,None,4,1.766,0.01123579009436071,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,raft.jpg,,,,,,,,,0,0,0,3,0,6,6,3,,,,,,,,,,,151.39376379997702,None,159.4078752999776,162.39321549999295,None,None,0.012247290054801852,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,soldier1.jpg,,,,,,,,,0,0,0,3,0,7,7,15,,,,,,,,,,,162.43995699996594,None,170.40029689995572,173.38526059995638,None,None,0.011309190071187913,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,couple2.jpg,,,,,,,,,0,0,0,3,0,8,8,16,,,,,,,,,,,173.4075531999697,None,181.4095021999674,184.39510059996974,None,None,0.0110621900530532,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,mother3.jpg,,,,,,,,,0,0,0,3,0,9,9,10,,,,,,,,,,,184.41739139996935,None,192.40160419995664,None,3,1.948,0.010944390029180795,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,excited4.jpg,,,,,,,,,0,0,0,3,0,10,10,12,,,,,,,,,,,195.3942346999538,None,203.39492609997978,206.37986359995557,None,None,0.010832090047188103,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,dancing3.jpg,,,,,,,,,0,0,0,3,0,11,11,14,,,,,,,,,,,206.42029479995836,None,214.40307759999996,None,6,2.118,0.014548290055245161,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,school3.jpg,,,,,,,,,0,0,0,3,0,12,12,2,,,,,,,,,,,217.39543979999144,None,225.39689099998213,228.38115619996097,None,None,0.01052599004469812,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,sad1.jpg,,,,,,,,,0,0,0,3,0,13,13,4,,,,,,,,,,,228.4059407999739,None,236.4045697999536,239.3911925999564,None,None,0.011049290013033897,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,shooting.jpg,,,,,,,,,0,0,0,3,0,14,14,17,,,,,,,,,,,239.41500099998666,None,247.41366339998785,None,None,None,0.012237390037626028,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,war6.jpg,,,,,,,,,0,0,0,3,0,15,15,11,,,,,,,,,,,250.4051169999875,None,258.4060577999917,261.3923803999787,None,None,0.01089339004829526,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,gazing3.jpg,,,,,,,,,0,0,0,3,0,16,16,5,,,,,,,,,,,261.414828799956,None,269.3991800999502,272.38456340000266,None,None,0.015253390010911971,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,War2.jpg,,,,,,,,,0,0,0,3,0,17,17,1,,,,,,,,,,,272.40704599994933,None,280.408442999993,283.39393659995403,None,None,0.011145189986564219,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,police2.jpg,,,,,,,,,0,1,1,4,0,0,0,9,,,,,,,283.4109810999944,285.41212919994723,285.3956094000023,None,287.4073994999635,None,295.40354309999384,None,7,2.316,0.011309790017548949,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,guitar.jpg,,,,,,,,,0,1,1,4,0,1,1,4,,,,,,,,,,,298.3969991999911,None,306.3976366999559,309.3820593999699,None,None,0.010854090040083975,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,doctor3.jpg,,,,,,,,,0,1,1,4,0,2,2,7,,,,,,,,,,,309.40287119999994,None,317.4070654999814,320.37869219999993,None,None,0.014674590027425438,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,gazing4.jpg,,,,,,,,,0,1,1,4,0,3,3,6,,,,,,,,,,,320.4168799999752,None,328.39797419996466,331.3837790999678,None,None,0.014567290083505213,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,biking.jpg,,,,,,,,,0,1,1,4,0,4,4,8,,,,,,,,,,,331.40519219997805,None,339.406866299978,342.39310889999615,None,None,0.011753390019293875,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,surprise2.jpg,,,,,,,,,0,1,1,4,0,5,5,12,,,,,,,,,,,342.4250409999513,None,350.39980529999593,353.3850387999555,None,None,0.011572890041861683,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,eating2.jpg,,,,,,,,,0,1,1,4,0,6,6,15,,,,,,,,,,,353.40690939995693,None,361.4093156000017,364.3948400999652,None,None,0.010932789999060333,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0075:93,REACT,gun.jpg,,,,,,,,,0,1,1,4,0,7,7,0,,,,,,,,,,,364.41855619999114,None,372.4014358999557,375.3867311999784,None,None,0.012077289982698858,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
