CueType1,rows,CueType2,Picture,LeftText,NeutralText,EmoType,RightText,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REACT,0021:0039,REGULATE,depressed.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,2,2,4,,,,,,,662.452479599975,None,,,,,652.3623635000549,None,660.3665030999109,None,660.3665030999109,None,660.3665030999109,None,2,2.065,0.010661389911547303,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,bungee.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,2,2,1,0,3,3,2,,,,,,,674.9286559000611,None,,,,,664.4602910000831,None,672.4603601000272,None,672.4603601000272,None,672.4603601000272,None,4,2.447,0.009991389932110906,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,gazing.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,2,2,1,0,4,4,9,,,,,,,687.5558793998789,None,,,,,676.9346119000111,None,684.9374202000909,None,684.9374202000909,None,684.9374202000909,None,4,2.597,0.010717089986428618,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,bored.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,5,5,1,,,,,,,699.8827486999799,None,,,,,689.5633447000291,None,697.5647553999443,None,697.5647553999443,None,697.5647553999443,None,4,2.297,0.01045618997886777,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,massage.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,2,2,1,0,6,6,10,,,,,,,713.2940003999975,None,,,,,701.8921213999856,None,709.8910952000879,None,709.8910952000879,None,709.8910952000879,None,2,3.381,0.010726589942350984,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,gun.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,7,7,5,,,,,,,726.1549142999575,None,,,,,715.302943599876,None,723.3027194999158,None,723.3027194999158,None,723.3027194999158,None,2,2.831,0.009897890035063028,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,hangover.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,8,8,12,,,,,,,757.1468279000837,None,,,,,728.1638277000748,None,736.1632528000046,741.1503222999163,736.1632528000046,741.1669574000407,736.1632528000046,741.1669574000407,4,20.962,0.010590990073978901,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,angry2.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,9,9,0,,,,,,,773.2442594000604,None,,,,,759.1521651998628,None,767.1554169000592,772.1429212999064,767.1554169000592,772.1594094000757,767.1554169000592,772.1594094000757,None,None,0.009956090012565255,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,shooting.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,10,10,15,,,,,,,788.2394157999661,None,,,,,775.2535953000188,None,783.2356010999065,788.2059476000722,783.2356010999065,None,783.2356010999065,None,None,None,0.015482790302485228,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,frustratedpose7.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,11,11,8,,,,,,,801.0835694000125,None,,,,,790.2435934999958,None,798.2311475998722,None,798.2311475998722,None,798.2311475998722,None,2,2.836,0.015731289982795715,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
