ImMoney,DelayMoney,DelayDays,CueType,rows,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,ImmedMoneyAmt.started,ImmedMoneyAmt.stopped,DelayMoneyAmt.started,DelayMoneyAmt.stopped,Immedtoday.started,Immedtoday.stopped,DelayTime.started,DelayTime.stopped,blank.started,blank.stopped,text_2.started,text_2.stopped,cue.started,cue.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
$27 ,$50 ,in 21 days,LOOK,0013:0023,,,,,0,2,2,2,0,4,4,3,,,,,,,,,,,,,203.13318419997813,None,,,205.16174850001698,None,None,,205.16174850001698,None,205.16174850001698,None,205.16174850001698,None,205.16174850001698,None,205.16174850001698,None,205.16174850001698,206.66970640001819,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$52 ,$65 ,in 119 days,LOOK,0013:0023,,,,,0,2,2,2,0,5,5,1,,,,,,,,,,,,,209.13828850002028,None,,,211.14795319997938,None,None,,211.14795319997938,None,211.14795319997938,None,211.14795319997938,None,211.14795319997938,None,211.14795319997938,None,211.14795319997938,212.65780169999925,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$34 ,$35 ,in 18 days,LOOK,0013:0023,,,,,0,2,2,2,0,6,6,2,,,,,,,,,,,,,215.12623559997883,None,,,217.15863979997812,None,None,,217.15863979997812,None,217.15863979997812,None,217.15863979997812,None,217.15863979997812,None,217.15863979997812,None,217.15863979997812,218.6629394000047,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$11 ,$30 ,in 7 days,LOOK,0013:0023,,,,,0,2,2,2,0,7,7,0,,,,,,,,,,,,,221.13242540002102,None,,,223.15846970002167,None,None,,223.15846970002167,None,223.15846970002167,None,223.15846970002167,None,223.15846970002167,None,223.15846970002167,None,223.15846970002167,224.6674583000131,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$39 ,$61 ,in 91 days,LOOK,0013:0023,,,,,0,2,2,2,0,8,8,4,,,,,,,,,,,,,227.13611070002662,None,,,229.16247789998306,None,None,,229.16247789998306,None,229.16247789998306,None,229.16247789998306,None,229.16247789998306,None,229.16247789998306,None,229.16247789998306,230.67302069999278,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$24 ,$35 ,in 29 days,LOOK,0013:0023,,,,,0,2,2,2,0,9,9,7,,,,,,,,,,,,,233.1248379999888,None,,,235.15196980000474,None,None,,235.15196980000474,None,235.15196980000474,None,235.15196980000474,None,235.15196980000474,None,235.15196980000474,None,235.15196980000474,236.66084089997457,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
,,,LOOK,0013:0023,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$32 ,$44 ,in 30 days,LOOK,0023:0033,,,,,0,3,3,3,0,0,0,4,,,,,,,,,,,,,243.1330979000195,None,,,245.16037860000506,None,None,,245.16037860000506,None,245.16037860000506,None,245.16037860000506,None,245.16037860000506,None,245.16037860000506,None,245.16037860000506,246.66969760000939,,,241.13131129997782,None,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$22 ,$25 ,in 136 days,LOOK,0023:0033,,,,,0,3,3,3,0,1,1,5,,,,,,,,,,,,,249.13752559997374,None,,,251.15009140002076,None,None,,251.15009140002076,None,251.15009140002076,None,251.15009140002076,None,251.15009140002076,None,251.15009140002076,None,251.15009140002076,252.6575689999736,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$41 ,$45 ,in 15 days,LOOK,0023:0033,,,,,0,3,3,3,0,2,2,7,,,,,,,,,,,,,255.1266281999997,None,,,257.20762489998015,None,None,,257.20762489998015,None,257.20762489998015,None,257.20762489998015,None,257.20762489998015,None,257.20762489998015,None,257.20762489998015,258.71276790002594,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$20 ,$55 ,in 7 days,LOOK,0023:0033,,,,,0,3,3,3,0,3,3,6,,,,,,,,,,,,,261.13151819998166,None,,,263.15948109998135,None,None,,263.15948109998135,None,263.15948109998135,None,263.15948109998135,None,263.15948109998135,None,263.15948109998135,None,263.15948109998135,264.6678836999927,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$54 ,$60 ,in 111 days,LOOK,0023:0033,,,,,0,3,3,3,0,4,4,3,,,,,,,,,,,,,267.13728630001424,None,,,269.16473560000304,None,None,,269.16473560000304,None,269.16473560000304,None,269.16473560000304,None,269.16473560000304,None,269.16473560000304,None,269.16473560000304,270.6722927999799,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$30 ,$52 ,in 14 days,LOOK,0023:0033,,,,,0,3,3,3,0,5,5,8,,,,,,,,,,,,,273.1240336999763,None,,,275.15207640000153,None,None,,275.15207640000153,None,275.15207640000153,None,275.15207640000153,None,275.15207640000153,None,275.15207640000153,None,275.15207640000153,276.6608418999822,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$54 ,$60 ,in 186 days,LOOK,0023:0033,,,,,0,3,3,3,0,6,6,9,,,,,,,,,,,,,279.13001810002606,None,,,281.15867019997677,None,None,,281.15867019997677,None,281.15867019997677,None,281.15867019997677,None,281.15867019997677,None,281.15867019997677,None,281.15867019997677,282.66619170003105,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$25 ,$30 ,in 80 days,LOOK,0023:0033,,,,,0,3,3,3,0,7,7,1,,,,,,,,,,,,,285.13440350000747,None,,,287.16485459997784,None,None,,287.16485459997784,None,287.16485459997784,None,287.16485459997784,None,287.16485459997784,None,287.16485459997784,None,287.16485459997784,288.67114039999433,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$34 ,$50 ,in 30 days,LOOK,0023:0033,,,,,0,3,3,3,0,8,8,0,,,,,,,,,,,,,291.1226707000169,None,,,293.1509399000206,None,None,,293.1509399000206,None,293.1509399000206,None,293.1509399000206,None,293.1509399000206,None,293.1509399000206,None,293.1509399000206,294.65918229997624,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$41 ,$65 ,in 20 days,LOOK,0023:0033,,,,,0,3,3,3,0,9,9,2,,,,,,,,,,,,,297.12791290000314,None,,,299.15511150000384,None,None,,299.15511150000384,None,299.15511150000384,None,299.15511150000384,None,299.15511150000384,None,299.15511150000384,None,299.15511150000384,300.6639765999862,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
,,,LOOK,0023:0033,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
