sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
$6.15 ,$9.75 ,35,0040:0050,REGULATE,35%  LOSE,100%  LOSE,0,LOSE,-3.4130000000000003,ad,,,,,0,4,4,4,0,0,0,5,,,,,,,,,,,,,299.5881010000012,None,,,301.6077575000236,None,1,2.5750699000200257,301.6077575000236,None,301.6077575000236,None,301.6077575000236,None,301.6077575000236,None,301.6077575000236,None,301.6077575000236,303.1078183000209,301.6077575000236,None,301.6077575000236,None,,,,,,,297.58857249998255,None,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$5.75 ,50,0040:0050,REGULATE,50%  LOSE,100%  LOSE,0,LOSE,-2.875,ad,,,,,0,4,4,4,0,1,1,7,,,,,,,,,,,,,305.5760094000143,None,,,307.595313799975,None,2,1.6915379000129178,307.595313799975,None,307.595313799975,None,307.595313799975,None,307.595313799975,None,307.595313799975,None,307.595313799975,309.0963413999998,307.595313799975,None,307.595313799975,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.50 ,$7.00 ,65,0040:0050,REGULATE,65%  WIN,100%  WIN,1,WIN,4.55,ad,,,,,0,4,4,4,0,2,2,3,,,,,,,,,,,,,311.5823091000202,None,,,313.60008170001674,None,2,1.1430193000123836,313.60008170001674,None,313.60008170001674,None,313.60008170001674,None,313.60008170001674,None,313.60008170001674,None,313.60008170001674,315.10118180001155,313.60008170001674,None,313.60008170001674,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.75 ,$6.50 ,35,0040:0050,REGULATE,35%  LOSE,100%  LOSE,0,LOSE,-2.275,ad,,,,,0,4,4,4,0,3,3,9,,,,,,,,,,,,,317.58638860000065,None,,,319.6069801999838,None,2,1.6326527000055648,319.6069801999838,None,319.6069801999838,None,319.6069801999838,None,319.6069801999838,None,319.6069801999838,None,319.6069801999838,321.12193939997815,319.6069801999838,None,319.6069801999838,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$6.15 ,$9.50 ,35,0040:0050,REGULATE,35%  WIN,100%  WIN,1,WIN,3.325,dis,,,,,0,4,4,4,0,4,4,2,,,,,,,,,,,,,323.59121460001916,None,,,325.59294729999965,None,1,1.1342610999708995,325.59294729999965,None,325.59294729999965,None,325.59294729999965,None,325.59294729999965,None,325.59294729999965,None,325.59294729999965,327.0939335000003,325.59294729999965,None,325.59294729999965,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.25 ,$4.00 ,50,0040:0050,REGULATE,50%  WIN,100%  WIN,1,WIN,2.0,ad,,,,,0,4,4,4,0,5,5,1,,,,,,,,,,,,,329.5796366999857,None,,,331.5979649000219,None,2,1.8493127000401728,331.5979649000219,None,331.5979649000219,None,331.5979649000219,None,331.5979649000219,None,331.5979649000219,None,331.5979649000219,333.099112899974,331.5979649000219,None,331.5979649000219,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.50 ,$4.00 ,50,0040:0050,REGULATE,50%  LOSE,100%  LOSE,0,LOSE,-2.0,dis,,,,,0,4,4,4,0,6,6,8,,,,,,,,,,,,,335.58398920000764,None,,,337.60678239999106,None,2,1.5359431999968365,337.60678239999106,None,337.60678239999106,None,337.60678239999106,None,337.60678239999106,None,337.60678239999106,None,337.60678239999106,339.12047989998246,337.60678239999106,None,337.60678239999106,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.95 ,$6.00 ,65,0040:0050,REGULATE,65%  LOSE,100%  LOSE,0,LOSE,-3.9,ad,,,,,0,4,4,4,0,7,7,6,,,,,,,,,,,,,341.5894287999836,None,,,343.6090870000189,None,2,1.309825300006196,343.6090870000189,None,343.6090870000189,None,343.6090870000189,None,343.6090870000189,None,343.6090870000189,None,343.6090870000189,345.10929519997444,343.6090870000189,None,343.6090870000189,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$5.25 ,50,0040:0050,REGULATE,50%  WIN,100%  WIN,1,WIN,2.625,dis,,,,,0,4,4,4,0,8,8,4,,,,,,,,,,,,,347.5778272000025,None,,,349.5944123999798,None,2,0.6524535999633372,349.5944123999798,None,349.5944123999798,None,349.5944123999798,None,349.5944123999798,None,349.5944123999798,None,349.5944123999798,351.09735759999603,349.5944123999798,None,349.5944123999798,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.75 ,$7.50 ,65,0040:0050,REGULATE,65%  WIN,100%  WIN,1,WIN,4.875,ad,,,,,0,4,4,4,0,9,9,0,,,,,,,,,,,,,353.58266549999826,None,,,355.60165079997387,None,2,1.6371596999815665,355.60165079997387,None,355.60165079997387,None,355.60165079997387,None,355.60165079997387,None,355.60165079997387,None,355.60165079997387,357.10249100002693,355.60165079997387,None,355.60165079997387,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
