sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,5,65,00010:0020,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0,+,LOSE,-3.25,dis,,,,,0,1,1,1,0,3,3,7,,,,,,,,,,,,,,,,,,,242.9761661000084,None,,,238.98846869985573,None,1,2.4233260001055896,238.98846869985573,None,238.98846869985573,None,238.98846869985573,None,238.98846869985573,None,238.98846869985573,None,238.98846869985573,240.49049359979108,238.98846869985573,None,238.98846869985573,None,244.98020089999773,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
5,11,50,00010:0020,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0,+,LOSE,5.5,dis,,,,,0,1,1,1,0,4,4,0,,,,,,,,,,,,,,,,,,,254.98598039988428,None,,,250.99909379985183,None,None,,250.99909379985183,None,250.99909379985183,None,250.99909379985183,None,250.99909379985183,None,250.99909379985183,None,250.99909379985183,252.5003903999459,250.99909379985183,None,250.99909379985183,None,256.99317689985037,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,7,35,00010:0020,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0,+,LOSE,2.45,ad,,,,,0,1,1,1,0,5,5,6,,,,,,,,,,,,,,,,,,,266.97943629999645,None,,,262.99015429988503,None,1,2.4697799999266863,262.99015429988503,None,262.99015429988503,None,262.99015429988503,None,262.99015429988503,None,262.99015429988503,None,262.99015429988503,264.49368119984865,262.99015429988503,None,262.99015429988503,None,268.9839612999931,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,8,35,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1,+,WIN,~3,EQUAL,,,,,0,1,1,1,0,6,6,3,,,,,,,,,,,,,,,,,,,278.9724353000056,None,,,275.00517849996686,None,1,2.822575200116262,275.00517849996686,None,275.00517849996686,None,275.00517849996686,None,275.00517849996686,None,275.00517849996686,None,275.00517849996686,276.5202858999837,275.00517849996686,None,275.00517849996686,None,280.97678429982625,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
6,10,65,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1,+,WIN,6.5,ad,,,,,0,1,1,1,0,7,7,1,,,,,,,,,,,,,,,,,,,290.98226909991354,None,,,286.99435990001075,None,1,3.393355500185862,286.99435990001075,None,286.99435990001075,None,286.99435990001075,None,286.99435990001075,None,286.99435990001075,None,286.99435990001075,288.4972664997913,286.99435990001075,None,286.99435990001075,None,292.9868136998266,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,7,35,00010:0020,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0,+,LOSE,2.45,dis,,,,,0,1,1,1,0,8,8,9,,,,,,,,,,,,,,,,,,,302.97554089990444,None,,,298.9888278997969,None,1,3.526861400110647,298.9888278997969,None,298.9888278997969,None,298.9888278997969,None,298.9888278997969,None,298.9888278997969,None,298.9888278997969,300.49006400001235,298.9888278997969,None,298.9888278997969,None,304.9799558999948,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,8,50,00010:0020,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0,+,LOSE,4,dis,,,,,0,1,1,1,0,9,9,2,,,,,,,,,,,,,,,,,,,314.9874563999474,None,,,310.99847619980574,None,1,2.68531410000287,310.99847619980574,None,310.99847619980574,None,310.99847619980574,None,310.99847619980574,None,310.99847619980574,None,310.99847619980574,312.5002084998414,310.99847619980574,None,310.99847619980574,None,316.9902768000029,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
7,9,65,00020:0030,DE-EMPHASIZE,65%  WIN,100%  WIN,1,+,WIN,5.85,dis,,,,,0,2,2,2,0,0,0,4,,,,,,,,,,,,,,,,,,,331.98323459993117,None,,,328.03156939987093,None,1,2.084084999980405,328.03156939987093,None,328.03156939987093,None,328.03156939987093,None,328.03156939987093,None,328.03156939987093,None,328.03156939987093,329.53100720001385,328.03156939987093,None,328.03156939987093,None,333.98751479992643,None,,,,,,,322.9755815998651,None,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4,7,65,00020:0030,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0,+,LOSE,4.55,dis,,,,,0,2,2,2,0,1,1,6,,,,,,,,,,,,,,,,,,,343.97656099987216,None,,,339.9917126998771,None,1,2.4439640000928193,339.9917126998771,None,339.9917126998771,None,339.9917126998771,None,339.9917126998771,None,339.9917126998771,None,339.9917126998771,341.49089269991964,339.9917126998771,None,339.9917126998771,None,345.9808575999923,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
