sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,choice.rt,participant,session,date,expName,psychopyVersion,frameRate,
5.5,8.75,65.0,00020:0030,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,WIN,5.6875,ad,,,,,0,2,2,2,0,6,6,0,,,,,,,,,,,,,223.64241160009988,None,,,225.6619376000017,None,None,225.6619376000017,None,225.6619376000017,None,225.6619376000017,None,225.6619376000017,None,225.6619376000017,None,225.6619376000017,227.16202830011025,225.6619376000017,None,225.6619376000017,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
6.0,9.75,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,LOSE,-3.4130000000000003,ad,,,,,0,2,2,2,0,7,7,8,,,,,,,,,,,,,229.64743050001562,None,,,231.66529679996893,None,None,231.66529679996893,None,231.66529679996893,None,231.66529679996893,None,231.66529679996893,None,231.66529679996893,None,231.66529679996893,233.16684080008417,231.66529679996893,None,231.66529679996893,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.15,6.75,50.0,00020:0030,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,3.375,ad,,,,,0,2,2,2,0,8,8,2,,,,,,,,,,,,,235.65219249995425,None,,,237.669306299882,None,None,237.669306299882,None,237.669306299882,None,237.669306299882,None,237.669306299882,None,237.669306299882,None,237.669306299882,239.17241659993306,237.669306299882,None,237.669306299882,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.75,5.0,35.0,00020:0030,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,1.75,dis,,,,,0,2,2,2,0,9,9,1,,,,,,,,,,,,,241.6406694999896,None,,,243.65662060002796,None,None,243.65662060002796,None,243.65662060002796,None,243.65662060002796,None,243.65662060002796,None,243.65662060002796,None,243.65662060002796,245.16015310003422,243.65662060002796,None,243.65662060002796,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.5,3.85,50.0,0030:0040,EMPHASIZE,50%  WIN,100%  WIN,1.0,None,WIN,1.925,ad,,,,,0,3,3,3,0,0,0,6,,,,,,,,,,,,,251.64901429996826,None,,,253.6652683999855,None,None,253.6652683999855,None,253.6652683999855,None,253.6652683999855,None,253.6652683999855,None,253.6652683999855,None,253.6652683999855,255.16839929996058,253.6652683999855,None,253.6652683999855,None,,,,,,,249.64721659990028,None,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.25,9.0,50.0,0030:0040,EMPHASIZE,50%  WIN,100%  WIN,1.0,None,WIN,3.5,ad,,,,,0,3,3,3,0,1,1,9,,,,,,,,,,,,,257.65386669989675,None,,,259.6693567999173,None,None,259.6693567999173,None,259.6693567999173,None,259.6693567999173,None,259.6693567999173,None,259.6693567999173,None,259.6693567999173,261.1734307000879,259.6693567999173,None,259.6693567999173,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,6.0,65.0,0030:0040,EMPHASIZE,65%  LOSE,100%  LOSE,0.0,None,LOSE,-3.9,dis,,,,,0,3,3,3,0,2,2,4,,,,,,,,,,,,,263.6420042999089,None,,,265.6599830999039,None,None,265.6599830999039,None,265.6599830999039,None,265.6599830999039,None,265.6599830999039,None,265.6599830999039,None,265.6599830999039,267.1617640000768,265.6599830999039,None,265.6599830999039,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,5.25,65.0,0030:0040,EMPHASIZE,65%  WIN,100%  WIN,1.0,None,WIN,3.1430000000000002,dis,,,,,0,3,3,3,0,3,3,8,,,,,,,,,,,,,269.6471923000645,None,,,271.6647544000298,None,None,271.6647544000298,None,271.6647544000298,None,271.6647544000298,None,271.6647544000298,None,271.6647544000298,None,271.6647544000298,273.16683849995025,271.6647544000298,None,271.6647544000298,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.25,4.75,35.0,0030:0040,EMPHASIZE,35%  WIN,100%  WIN,1.0,None,WIN,1.663,ad,,,,,0,3,3,3,0,4,4,3,,,,,,,,,,,,,275.6521197000984,None,,,277.6681248000823,None,None,277.6681248000823,None,277.6681248000823,None,277.6681248000823,None,277.6681248000823,None,277.6681248000823,None,277.6681248000823,279.171822699951,277.6681248000823,None,277.6681248000823,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
